NAME,RANKED_IN,IS_RANKED,V_DISPLAY_SCORE,C_RNK_TOT_RETENTION,R_C_AVG_PCT_GRAD_6YR,PELL_GRADRATE,NONPELL_GRADRATE,DIFF_PELL_GRADRATE,R_C_AVG_PCT_RETENTION,PRED_GRAD_RATE,V_DIFF_GRAD_RATES,C_AVG_REPUTATION_SCORE_T,C_PCT_HS_COUNSELOR,FACULTY_RESOURCES_RANK,R_C_PCT_TOT_FAC_PT,V_FAC_TERMINAL,R_C_PCT_CLASSES_1_19,R_C_PCT_CLASSES_GT_50,V_STUDENT_FACULTY_RATIO,C_RNK_TOT_SELECT,R_C_SAT_ACT_PERCENT,R_C_HS_TOP_10_PCT_CLASS,R_C_HS_TOP_25_PCT_CLASS,C_RNK_LN_AVG_EDU_EXPENSES,C_RNK_ALUM_GIVING_RATE_2YR,R_C_ALUM_GIVING_RATE_2YR
university-of-illinois-chicago-1776,National Universities,129,44,146,59,54,60,-6,80,57,0,3,3.6,192,89.7,88,36.8,19,19:01,177,20-26,25,58,34,256,2.5
university-of-kansas-1948,National Universities,129,44,200,62,47,68,-21,81,69,-6,3.3,3.8,87,93.9,90,47.3,12,17:01,117,23-28,26,57,88,67,13.4
university-of-missouri-2516,National Universities,129,44,155,69,53,73,-19,87,69,-1,3.2,3.7,175,98.2,91,38.1,17,18:01,112,23-29,29,60,158,75,12.6
university-of-nebraska-2565,National Universities,129,44,164,67,56,72,-16,83,68,0,3.1,3.7,183,99.6,90,35.2,18,21:01,135,22-29,26,53,142,45,18.2
university-of-texas-dallas-9741,National Universities,129,44,104,69,68,70,-3,87,67,3,2.8,3.8,207,86.5,86,23.5,22,23:01,73,1220-1430,36,64,221,256,2.7
birminghamsouthern-college-1012,National Liberal Arts Colleges,131,51,157,65,55,69,-15,82,73,-7,2.8,3.7,115,91.6,93,62.6,0,13:01,62,23-29,54,54,149,136,16.3
college-of-idaho-1617,National Liberal Arts Colleges,131,51,121,63,61,70,-9,79,64,3,2.6,3.3,172,82.2,83,67.5,0,9:01,144,21-27,24,26,112,42,29.8
lycoming-college-3293,National Liberal Arts Colleges,131,51,116,66,63,70,-7,80,56,11,2.5,3.2,126,88.4,94,68.9,1,12:01,175,988-1200,14,33,149,116,17.8
salem-college-2960,National Liberal Arts Colleges,131,51,169,61,,,,80,46,15,2.3,3.4,103,67.2,91,86.9,0,,130,21-27,40,78,169,76,23
cabrini-university-3241,Regional Universities North,132,45,135,55,,,,73,55,0,2.3,,45,56.7,86,78.1,0,,173,990-1160,,,43,54,8.9
daemen-college-2808,Regional Universities North,132,45,101,52,54,56,-3,79,56,-1,2.1,,98,73.8,84,60.5,1,12:01,25,1040-1220,24,58,149,169,2.9
delaware-valley-university-3252,Regional Universities North,132,45,112,57,53,57,-4,70,60,-4,2.3,,140,61.4,68,57.5,2,14:01,98,960-1165,6,23,65,94,6
plymouth-state-2591,Regional Universities North,132,45,120,57,53,59,-6,72,48,9,2.5,,101,66.3,72,51.5,1,17:01,165,890-1130,6,18,161,126,4.1
southern-connecticut-state-university-1406,Regional Universities North,132,45,142,52,,,,76,43,9,2.4,,74,70.1,87,43,1,,177,830-1030,1,8,75,119,4.2
eckerd-college-1487,National Liberal Arts Colleges,135,50,145,67,61,72,-11,81,67,3,2.9,3.7,170,92.3,88,50,0,12:01,120,23-29,,,104,184,
monmouth-college-1725,National Liberal Arts Colleges,135,50,150,58,53,65,-12,74,55,5,2.7,3.4,110,88.9,88,78.7,0,11:01,154,20-25,17,42,160,111,18.6
roanoke-college-3736,National Liberal Arts Colleges,135,50,136,65,60,70,-10,82,64,3,2.9,3.4,145,89.8,88,54.5,0,11:01,150,1040-1230,16,39,149,111,18.7
siena-college-2816,National Liberal Arts Colleges,135,50,82,77,73,80,-7,89,67,11,2.7,3.6,209,82.7,86,36.8,0,12:01,158,1060-1250,22,49,186,167,13.3
simpson-college-1887,National Liberal Arts Colleges,135,50,132,68,56,74,-17,80,61,7,2.6,3.3,130,75.2,87,78.9,1,11:01,120,21-27,23,58,194,156,14.2
susquehanna-university-3369,National Liberal Arts Colleges,135,50,113,73,65,72,-8,85,67,4,3,3.5,186,77.5,90,54.3,0,12:01,168,1070-1240,26,57,137,182,11.3
gmu-3749,National Universities,136,43,117,69,67,72,-6,88,63,8,3.1,3.9,235,73.4,91,30.9,14,17:01,155,1100-1290,17,51,215,256,2.7
michigan-tech-2292,National Universities,136,43,166,66,53,71,-18,85,67,0,2.7,3.9,95,97.4,89,45.7,13,13:01,107,1160-1340,32,65,142,122,8.3
university-of-california-merced-4127,National Universities,136,43,104,65,61,70,-9,84,48,16,2.7,3.5,227,96.3,88,25.1,28,20:01,292,910-1120,21,,88,96,10.8
